Job role,Job type,Job ID,location,City,State,salary,Job description,Requirements
Tax Manager - Remote,Permanent,2089270-AQG,"Garden City, NY",Garden City,NY,$125000 - $150000 per Annually,"A Kforce client in Garden City, New York (NY) is seeking to hire a remote Tax Manager.

Summary:
This is a company with very competitive compensation and benefits (including annual bonuses) and real advancement potential. They are seeking a talented Tax Manager with strong interest and experience working with ultra HNW individuals. This Tax Manager role can be 100% remote or hybrid if you live in the greater NY area.","* CPA in progress or completed is a plus
* 5+ years of experience with a High Net Worth, Foundation, Trust, and Estate concentration
* Tax Manager with familiarity with online and print tax research resources
* Ability to work independently and as part of a team while demonstrating initiative and creativity, and flexibility to adjust to multiple work assignments
* Knowledge of Fast Tax (Go Systems RS), CCH Online, and BNA is a plus

"
Data Entry,Contract,2089249-TVF,"Seattle, WA",Seattle,WA,$19 - $20 per Hourly,"Kforce has a client in Seattle, WA that is seeking a Data Entry.

Responsibilities:
* The Data Entry operates a data entry terminal with speed and accuracy for a variety of data processing applications in a high volume operation
* Inputs a high volume of information into computer files, databases, or systems
* Proofreads and verifies information keyed
* Processes information with a high degree of accuracy
* As a Data Entry, this role maintains filing systems and departmental records
* May perform other clerical duties as directed","* High School diploma/GED required; Associate degree preferred
* Must be able to handle imaging/scanning and sorting documents
* Computer skills, team player, organizational skills, able meet deadlines, etc.

"
Business Process Manager,Contract,2089240-EQG,"Saint Louis, MO",Saint Louis,MO,$35 - $41 per Hourly,"Kforce has a client in Saint Louis, MO that is seeking a Business Process Manager.

Responsibilities:
* Manage processes for L&D and NPS Survey programs
* Support Analytics based program within the Sales Processes team
* Coordinate between internal teams, branch & field training communication, and sales process L&D management
* Facilitate rollout and tracking, and coordinate branch & field training communication
* Facilitate Bi-Weekly touchpoints between internal teams
* Facilitate Bi-Weekly calibration sessions with internal teams
* Facilitate Bi-Weekly/Monthly calibration sessions with internal teams","* Candidates qualifying for this position will have similar experience along with the skills and abilities to perform the duties mentioned
* Any relevant education and/or training will be considered a plus

"
Full Stack Developer,Contract,2089209-TVT,"Chicago, IL",Chicago,IL,$65 - $75 per Hourly,"Kforce has a client in Chicago, IL that is seeking a Full Stack Developer.

Summary:
We are a team of full stack engineers. Our programming languages has been Java, Python, and Scala. We build products using Open Source packages and Inner Source Components. We are also closely aligned with best practices of agile software development such as pair programming, mobbing, test-driven design, trunk development, and frequent and incremental code deliveries. As a Full Stack Developer, you will work on customer-facing web and mobile applications using open source frameworks, to highly-available RESTful services, to back-end C# and Java based systems. 

You will apply your strategic and analytical skills to major company challenges. You will team with world-class professionals to develop and test strategies that ultimately impact the bottom line. And you will do it all in a diverse, inclusive, collaborative environment that values your insight, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation. 

As a Full Stack Developer in our group, you will be working with our Agile teams building applications leveraging:
* An architecture in the style of -Event sourcing-
* Microservices to provide dedicated business functions
* Oracle, AWS AuroraDB , MongoDB and Redis Cache used for creating persistent view services
* Kafka for messaging and to enable rapid short term recovery, horizontal scalability and workload distribution
* Angular for building user Interfaces.
* Hadoop for analytics","* AWS Certified Developer or Architect are both a plus
* Experience with Java is a must; Shell scripting languages such Python are nice to have
* Experience with one of the following - Spring Boot, Docker , Tomcat
* Experience with Kafka, Spring boot. Angular experience is a plus
* MongoDB expertise is a must; AWS DocumentDB, DynamoDB or Redis Cache are a plus
* Rules Engines experience is a plus; Drools or Rulebook

"
Accounts Receivable Collections Clerk,Contract,2089186-EQG,"Chesterfield, MO",Chesterfield,MO,$20 - $20 per Hourly,"Kforce has a client in Chesterfield, MO that is seeking an Accounts Receivable Collections Clerk.

Summary:
This is a temporary position that will focus on past due collections. The Accounts Receivable Collections Clerk supports the organization by identifying past due invoices, gathering evidence to substantiate the receivables (i.e. shipping documentation, bill of ladings) and making collection calls. This position will also collaborate with accounts receivable team and support other processes as needed.  

Essential Functions:
* Maintain a complete and accurate record of all collection efforts
* Research and resolve collection issues by partnering with necessary internal departments
* Contacting customers by phone and email and maintaining consistent follow up","* High School diploma/GED; 1-3 years of collections experience preferred
* Intermediate experience in Microsoft Excel
* Basic knowledge of SAP and/or Microsoft Dynamics
* Professional, well-polished verbal and written communication skills
* Self-starter with sound analytical, problem solving, and organizational skills
* A high level of customer centricity

"
CE Facility Support Engineer,Contract,2089187-TVT,"Redmond, WA",Redmond,WA,$30 - $38 per Hourly,"Kforce has a client in Redmond, WA that is seeking a CE Facility Support Engineer.

Responsibilities:
* The CE Facility Support Engineer will follow operating procedures (SOPs) for critical environment planned work activities
* Take daily operational readings of all electrical equipment through routine rounds/log taking (temperatures, voltages, currents, etc.)
* Follow operating procedures (SOPs, MOPs, EOPs) for critical environment planned and unplanned work activities
* Fire alarm preventative maintenance (PM)
* The CE Facility Support Engineer will assist in the troubleshooting, repair and replacement of instrument sensors and calibration
* Quarterly and annual Generator preventative maintenance","* High School diploma/GED, or equivalent
* Must hold an OSHA or OSHA-approved NFPA 70E certification
* EPA Refrigerant License is preferred
* 3+ year(s) of work/applied learning experience in technical fields (e.g. automotive, electrical, controls, data center)
* Experience with roof top units (RTU) HVAC (includes some sort of refrigeration recovery requiring a EPA refrigerant license)
* Experience with Industrial Chillers preventative maintenance
* Experience with fire pump & fire alarm preventative maintenance
* Experience with mechanical systems in a high availability assembly/manufacturing/critical infrastructure environments such as data centers, oil and gas refineries, hospitals, pharmaceutical, manufacturing, or related fields
* Able to work a flexible work schedule which could include 12-hour shifts, rotating shifts, 3, 4, or 5 day work weeks
* Basic understanding of how to use Microsoft Office applications (Outlook, Excel, Word)
* Previous datacenter experience a plus

"
VSD Talent Associate,Permanent,230468,"Tampa, FL",Tampa,FL,$ - $ per ,"
Kforce is a solutions firm specializing in technology, finance & accounting, and professional staffing services. Each year, we help more than 30,000 people find work. We partner with more than 3,000 companies, including a significant majority of the Fortune 500, to find solutions for their talent, team and project needs. 
 
At Kforce, we thrive on building lasting relationships and making a positive impact on the lives of all we serve. Our national network of 2,000+ associates support our ability to meet the needs of customers of all size. 
 
We are proud of the culture we've created. Our people enjoy a hybrid work environment where flexibility and choice are empowered by trust and technology. Our office occasional approach gives Kforcers the ability to achieve high performance levels while designing their best lives. Join the Kforce family and we will support you with expert training, innovative tools, and a team of great people. Together, we can achieve powerful results. At Kforce, We Love What We Do. We Love Who We Serve.
 

 
ESSENTIAL DUTIES AND RESPONSIBILITIES: 


Identify, engage, recruit, package and match qualified candidates by performing sourcing activities. 
Qualify candidates by conducting phone and in-person interviews, obtain work history, education, training, job skills, salary requirements and validate right to work in the US for foreign national candidates. 
Utilize knowledge of USCIS policies and types of employment documentation to validate employment documents. 
Review and approve/deny vendor candidates based on resume, work authorization and required experience to ensure validity and proper match to Job Orders. 
Establish a pipeline, align virtual bench and a communication plan with virtual bench candidates through consistent use of activities. 
Prioritize job orders to ensure coverage on all assigned requisitions and package the candidates for presentation to the client as needed. 
Develop client expectations regarding job orders and ensure expectations are maintained as required. 
Coordinate client interviews with candidate and communicate necessary feedback throughout the recruiting process. 
Manage vendor relationships on a day to day basis including issues pertaining to employment documentation, interviews, and offers. 
Negotiate candidate pay rates and establish appropriate client bill rates as required. 
Troubleshoot and provide solutions to vendor/consultant issues in order to avoid breaks in service to the Firm's end-clients. 
Facilitate the on-boarding of new vendors, work order creation and on-boarding activities (as required). 
Ensure client and Kforce are in compliance with contractual obligations. 
Contribute to customer service efforts related to candidate/client activities including but not limited to quality assurance, follow up, retention and extension, lead generation, re-marketing, and assignment end. 
Enter and track all related activities into Kforce ATS (RecruitMax). 


SUPERVISORY RESPONSIBILITIES: 
 
None required. ","KEY SUCCESS INDICATORS/ATTRIBUTES: Ability to prioritize and multi-task in a fast paced, changing environment. Demonstrate strong organizational skills and be detail oriented. Ability to self-motivate and self-direct. Ability to achieve set goals and deadlines. Demonstrate strong commitment to exceptional customer service. Demonstrate excellent verbal and written communication skills. Demonstrate excellent analytical and problem solving skills. Ability to maintain professionalism when interacting with internal and external customers. Ability to develop and maintain relationships with key business partners by building personal credibility and trust. Demonstrate strong drive for results and success; convey a sense of urgency to achieve outcomes and exceed expectations; persist despite obstacles, setbacks, and competing influences. Proficient personal computer skills with MS Office (Word, Excel, Power Point, Outlook) and Vendor Management Systems. Commitment and adherence to Firm Core Values. EDUCATION AND/OR EXPERIENCE: Bachelor’s degree and 0-2 years of related experience or the equivalent combination of education and experience required. Previous working experience in a staffing environment and/or recruiting preferred. CERTIFICATES AND/OR LICENSES: None required. TRAVEL REQUIREMENTS: Travel as required, up to 5%. Kforce is an EEO/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status.

"
CE Facility Support Engineer,Contract,2089188-TVT,"Redmond, WA",Redmond,WA,$30 - $37 per Hourly,"Kforce has a client in Redmond, WA that is seeking a CE Facility Support Engineer.

Responsibilities:
* Take daily operational readings of all electrical equipment through routine rounds/log taking (temperatures, voltages, currents, etc.)
* Follow operating procedures (SOPs) for critical environment planned work activities
* Energize a cabinet in a Colo. Uninterruptible Power Supply (UPS) preventative maintenance quarterly and annually
* System control panel preventative maintenance
* Battery preventative maintenance
* Assist in the troubleshooting, repair and replacement of instrument sensors and calibration
* Ensure all safety procedures are adhered to while performing work and comply with all physical security procedures and policies","* High School diploma/GED, or equivalent
* 3+ year(s) of work/applied learning experience in technical fields (e.g. automotive, electrical, controls, data center)
* Must hold an OSHA or OSHA-approved NFPA 70E certification
* Experience with electrical systems in a high availability assembly/manufacturing/critical infrastructure environments such as data centers, oil and gas refineries, hospitals, pharmaceutical, manufacturing, or related fields
* Able to work a flexible work schedule which could include 12-hour shifts, rotating shifts, 3, 4, or 5 day work weeks
* Basic understanding of how to use Microsoft Office applications (Outlook, Excel, Word)
* Fundamental understanding of the National Electrical Code
* Experience as a Qualified Electrical Worker preferred
* Previous datacenter experience a plus

"
Building MEP Superintendent,Contract,2087824-WQG,"Corpus Christi, TX",Corpus Christi,TX,$60 - $68 per Hourly,"Kforce has a client in Corpus Christi, TX that is seeking a Building MEP Superintendent who will manage and supervise field operations of multiple fast-paced projects at a time and ensure projects are completed within budget and on schedule. This person must be able to manage changes quickly and efficiently. The Building MEP Superintendent will be responsible for overall project execution from design to completion. 

Responsibilities:
* Coordinate and supervise all on-site construction activities & subcontractors
* Experience working on commercial projects with CSA and MEP backgrounds
* Experience working on projects requiring attention to detail and finishes
* Provide daily and weekly updates, as required
* Manage daily operations and coordinate work with stakeholders
* Develop execution plans/schedules
* Ensure frequent communication with key project individuals, job site personnel and Project Manager
* Drive activities to project schedule and elevate construction issues to management
* Develop and communicate logistics and other operational plans necessary
* Maintain a safe, secure, and healthy work environment by following and enforcing the applicable state and OSHA regulations
* Understand project plans and specifications
* Work with tool vendors to facilitate successful project completion
* Track and receive material deliveries and resolve delivery discrepancies
* Provided guidance, track changes, etc.
* Develop templates and standards for future phases/projects
* Maintain an organized and clean job site. Including contractor trailers, fabrication areas and stored materials/equipment
* Interact with third party inspection personnel and City/State/County inspectors","* 8+ years of construction experience preferred but flexible
* Previous experience as a Superintendent on industrial facility construction
* Ability to work within a high-performance, cross-functional organization with tight timelines and aggressive goals
* Working knowledge of building codes, standards, and environmental regulations
* Thorough understanding of construction
* Ability to oversee multiple projects at once
* Ability to make quick decisions and engage stakeholders, as needed, for quick decision making
* Ability to work on fast-paced projects and flexibility to manage changes quickly and efficientlyn design documents and ability to provide constructability feedback prior to and during construction
* Computer literacy with Microsoft Office Suite products, office email system, scheduling tool knowledge
* Bluebeam and experience with models is a plus

"
Cloud Services Technician,Permanent,2084120-WQG,"Plano, TX",Plano,TX,$77000 - $94000 per Annually,"Kforce has a client that has three openings for a Cloud Services Technician. We are looking for candidates that are experienced with VMware vCenter in production environments. All positions are Direct Hire in Plano, TX.

Multiple shifts available:
Day shift (7a-4p or some variation of)
Second (3p-11p or some variation of)
Third (11p-7a or some variation of)

Key Tasks:
* Cloud Services Technician will provide technical customer support by phone and/or ticket system
* Maintain physical IT infrastructure
* Monitor security tools, system logs and dashboards for problems and take appropriate actions
* As a Cloud Services Technician, you will identify possible issues using various monitoring tools
* Implementation of new provisioning requests
* Implementation of specific internal equipment installation","* AS/BS degree in Information Systems or related technical field, or equivalent industry experience
* Certified Microsoft or VMWare Administrator (preferred)
* CompTIA A+ current certification or relative hardware experience; (Datacenter experience is a plus, but not required)
* At least 2+ years of experience operating highly available and scalable infrastructure systems
* Operator level experience of VMware vCenter in production environments
* Operator level experience in Microsoft Server 2016 and greater
* Understanding of Unix/Linux systems, file systems, and client-server protocols; (RHEL or Oracle administration experience is a plus)
* Understand and practice excellent and professional phone and email etiquette
* Understand and experienced at Enterprise server hardware break-fix
* Clear verbal communication and the ability to document technical processes at an operator level
* Able to work well in a team/individual environment with minimal supervision

"
Collections Credit Analyst Specialist,Permanent,2089050-ONS,"Newport Beach, CA",Newport Beach,CA,$65000 - $65000 per Annually,"Kforce has a client that is seeking a Collections Credit Analyst Specialist in Newport Beach, CA.

Job Responsibilities:
* Collect past due customer balances through various methods to include phone calls and emails
* Collections Credit Analyst Specialist will work with customers to collect outstanding balances
* Arrange acceptable payment programs while striving to maintain the goodwill of our customers
* Interact with customers to determine credit limits & payment schedules to reduce aging
* Monitor and maintain assigned past-due accounts, including handling customer phone calls, account adjustments, reconciliations, and credit memos
* As a Collections Credit Analyst Specialist, you will analyze customer payment trends or non-payment issues and create action plans to achieve commitments and results while overcoming customer objections
* Review credit applications and perform credit analysis and recommend the most appropriate credit limit to the Credit & Collections Manager
* Review daily credit holds to ensure credit risk and payment issues are under proper control, and work to reduce the number of holds
* Monitor receivables related to past due accounts
* Develop of work-out plans for customers with cash flow difficulties to minimize write-offs","* High School diploma/GED or equivalent
* 5+ years of related experience and/or training; Or equivalent combination of education and experience
* Proficient in Microsoft Office applications
* Computer skills
* Knowledge of Great Plains preferred

"
Staff Accountant,Permanent,2089244-AQG,"Princeton, NJ",Princeton,NJ,$62000 - $78000 per Annually,"Kforce has a client that is seeking a Staff Accountant in Princeton, NJ. This firm is growing & will offer tremendous opportunity for advancement along with great benefits and a 15% year-end bonus!

Summary:
The Staff Accountant will be responsible for financial data management, journal entries, account reconciliations, timely completion and execution of monthly and quarterly close tasks, internal controls, and accounting for various components for utility scale solar projects.

Responsibilities:
* Staff Accountant will perform accounting functions necessary to achieve an accurate and timely general ledger month-end close
* Duties will include preparation of journal entries, analysis and adjustment of income statement and balance sheet accounts, monthly balance sheet reconciliations and general accounting support for assigned projects
* Utilize financial reporting software to create, maintain and update reporting templates and data queries
* Work closely with plant personnel as necessary to ensure complete accounting, financial reporting, and analysis for assigned areas
* Assist the corporate accounting teams in preparation of consolidated accounting and financial reporting requests
* As a Staff Accountant, you will prepare periodic comparative variance analysis as required
* Execute the monthly, quarterly, and year-end close process within clearly defined time frames
* Prepare quarterly/annual financial statements and annual footnote schedules for standalone audits
* Support parent-level quarterly review and annual audit processes
* Collaborate with and respond to ad hoc requests from key stakeholders within the organization","* Bachelor's degree in Accounting from an accredited college or university required
* Entry level with accounting internships or 1- 2 years of general accounting experience, supporting the month-end close process
* Experience with SAP or similar ERP system is a plus
* Working knowledge of US GAAP
* Strong proficiency in Microsoft Excel, including knowledge of advanced features such as pivot tables and lookups
* Strong analytical and problem-solving skills
* Demonstrated ability to communicate with all levels of internal and external customers
* Ability to work independently in team-oriented culture in a fast-paced environment
* Ability to set priorities and respond to changing demands from multiple sources
* Ability to work well in a team-oriented, collaborative environment that emphasizes attention to detail, meeting deadlines, and working together to achieve company-wide objectives

"
Staff Accountant,Permanent,2089252-AQG,"Scottsdale, AZ",Scottsdale,AZ,$62000 - $78000 per Annually,"Kforce has a client in Scottsdale, AZ that is seeking a Staff Accountant. This firm is growing & will offer tremendous opportunity for advancement along with great benefits and a 15% year-end bonus!

Summary:
In this role, the Staff Accountant will be responsible for financial data management, journal entries, account reconciliations, timely completion and execution of monthly and quarterly close tasks, internal controls, and accounting for various components for utility scale solar projects.

Responsibilities:
* Staff Accountant will perform accounting functions necessary to achieve an accurate and timely general ledger month-end close
* Duties will include preparation of journal entries, analysis and adjustment of income statement and balance sheet accounts, monthly balance sheet reconciliations and general accounting support for assigned projects
* Utilize financial reporting software to create, maintain and update reporting templates and data queries
* Work closely with plant personnel as necessary to ensure complete accounting, financial reporting, and analysis for assigned areas
* Assist the corporate accounting teams in preparation of consolidated accounting and financial reporting requests
* As a Staff Accountant, you will prepare periodic comparative variance analysis as required
* Execute the monthly, quarterly, and year-end close process within clearly defined time frames
* Prepare quarterly/annual financial statements and annual footnote schedules for standalone audits
* Support parent-level quarterly review and annual audit processes
* Collaborate with and respond to ad hoc requests from key stakeholders within the organization","* Bachelor's degree in Accounting from an accredited college or university required
* Entry level with accounting internships or 1- 2 years of General accounting experience, supporting the month-end close process
* Experience with SAP or similar ERP system is a plus
* Working knowledge of US GAAP
* Strong proficiency in Microsoft Excel, including knowledge of advanced features such as pivot tables and lookups
* Strong analytical and problem-solving skills
* Demonstrated ability to communicate with all levels of internal and external customers
* Ability to work independently in team-oriented culture in a fast-paced environment
* Ability to set priorities and respond to changing demands from multiple sources
* Ability to work well in a team-oriented, collaborative environment that emphasizes attention to detail, meeting deadlines, and working together to achieve company-wide objectives

"
Technical Project Manager,Contract,2089236-WQG,"Remote, CA",Remote,CA,$30 - $38 per Hourly,"Kforce has a client that is seeking a remote Technical Project Manager to join our PMO/Video Operations team.

Duties:
* Technical Project Manager will coach, facilitate, and maintain a steady and beneficial Agile process methodologies for the teams, driving process and transparency
* Communicate with the business around team's velocity and project health while supporting the PMO in reporting on all teams' status
* Prepare, scope, and lead discrete live events, live linear channels & sports league launches
* Including, but not limited to fielding intake information, documentation, risk mitigation and resource management as needed for cross-team events/leagues/channels
* As a Technical Project Manager, you will help to resolve urgent issues and remove impediments for the team
* Work with teams in different time zones, from the U.S., Brazil, LATAM, and Australia; Therefore, needs to be flexible with a work shift schedule
* Providing PMO support related to all discrete live events driving live streaming on the Company platform
* Drive process improvements and initiatives through multiple internal stakeholders
* Coordinate with domestic and international stakeholders on all launches, refreshes, and end of season protocols
* Liaise with stakeholders on any ad hoc requests pertaining to different entry points for discrete live events across the Company platform
* Work cross-functionally with domestic and international design, curation, live operations, programming, marketing, quality assurance and client teams to submit tickets for live event launches, and ad hoc as needed
* Manage and enhance all project trackers and documentation surrounding discrete live events
* Additional other duties and responsibilities, as assigned","* Bachelor's degree or equivalent experience
* SAFe Agilist certification in addition to ScrumMaster
* 3+ years multi-project management experience in a technical (SDLC) environment
* Extensive experience in road-mapping, planning, and scheduling
* Experienced with a live site CMS, CDN, streaming technologies, live stream operations, or live signal transmissions
* Experience with Content Management Systems, Subscription or Membership sites, Publishing Systems, Digital Media sites development, video
* Expert Admin JIRA user
* Deep knowledge of agile and traditional frameworks
* Knowledge of advertising concepts (traditional and/or online)
* Knowledge of responsive design experience on Mobile, Desktop and Large TV screens
* Understanding of video technology stacks, including but not limited to, ingestion, video encoding/packaging, DRM, Ad insertion, Signal Acquisition
* Proficiency in tools: Airtable, Jira, Confluence, Google Suite, Slack
* Basic proficiency with standard development software
* Good interpersonal skills with the ability to communicate ideas in a fast-paced creative environment and possess the ability to lead calls/meetings

"
Usability Researcher,Contract,2089190-TVT,"Redmond, WA",Redmond,WA,$40 - $50 per Hourly,"Kforce's client in Redmond, WA is looking for a Usability Researcher to collaborate with a high-performing UX Research team with expertise in all types of research including qualitative, survey, usability, metrics, plus partnering with big data experts for analyses of behavioral data.

Responsibilities:
* Foster relationships with PM and design teams throughout the Data Organization so you stay close to our stakeholders and their challenges
* Conduct a mixture of qualitative and quantitative research activities to inform product design, including but not limited to ethnographic explorations, usability studies, heuristic evaluations, interviews, contextual inquiry, surveys, user journey maps, benchmarks or any method that answers the most important research questions
* Snap to organization-wide priorities and success criteria to design and execute on a research program that meets the organization's needs","* Advanced degree in Social Science or Human-Computer Interaction with an undergraduate in a technical field
* 3+ years of experience conducting UX research in technical domains
* Ability to quickly and effectively analyze research data and present rich findings simply and clearly to influence product design and direction
* Passion for learning new technologies and understanding the needs of users across a wide range of technical abilities
* Growing communication and project management skills
* Demonstrated ability to impact and influence business decisions across boundaries, often in ambiguous situations
* Proven storytelling and communication skills across leadership, engineering teams, designers, customers, and partners
* Strong leadership skills to deliver projects and customer insights within and across product teams that resulted in robust product impact
* Ability to plan research against business needs
* Experience conducting research globally and working with global stakeholders
* Experience working with data governance or data catalog products is a plus

"
Senior Solution Architect,Contract,2089200-WQG,"Philadelphia, PA",Philadelphia,PA,$65 - $68 per Hourly,"Kforce is looking for a Senior Solution Architect for a contract opportunity with a large healthcare organization in Philadelphia, PA. Main responsibilities include technical design, planning, architecture development, build modifications, and support of Cerner Millennium applications including PowerChart, Orders, PowerPlans, Tasks, Mpages, iView, among others.

Responsibilities:
* Guide clients through current workflows, upgrades, system changes and enhancements and ongoing system maintenance
* The Senior Solution Architect will act as primary consultant for the client's solution troubleshooting, consultation, and knowledge transfer
* Cultivate and sustain relationships with clients to provide appropriate escalation of issues, solution knowledge and engagement support
* Resolve escalated problems and issues using solution knowledge and expertise
* Resolve complex client concerns raised during installation, operation, maintenance, or solution application
* The Senior Solution Architect will perform test script execution
* Create and participate in unit and integrated testing","* Cerner Millennium Contractor with at least 4 plus years of hands-on build and customer service experience working in a ITIL based support environment
* Excellent communication skills to be able to flex messaging when talking to Providers who are novice, very technical or at an Executive level
* Teamwork - ability to collaborate with the team and AMS
* Teacher - ability to teach and conduct Knowledge Transfer sessions to newer team members
* Ability to participate in periodic 24/7 on call rotation
* Ability to be available after hours as needed with advance notice for projects and initiatives

"
Senior Data Architect,Contract,2089238-WQG,"San Antonio, TX",San Antonio,TX,$55 - $60 per Hourly,"Kforce has a San Antonio based client that is looking for a Senior Data Architect. This role is primarily remote, but candidates must reside in Texas. As a Senior Data Architect , you will independently assess the existing enterprise architecture and maintain a current knowledge of its functionality. In this role, you will collaborate with multiple lines of business to effectively deploy new architecture strategies to benefit specific business needs. More than that, this role is about providing top-quality service and doing it with integrity, caring and excellence in mind. 

Responsibilities:
* Build the secure, scalable and stable data platform architecture of the future
* Develop data and AI architecture frameworks, blueprints
* Independently assess the existing enterprise architecture and how it relates to multiple platforms to maintain a current knowledge of its functionality
* Develop data migration and streaming strategies to evolve bank architecture and efficiently move data throughout the company
* Collaborate with multiple lines of business to effectively deploy new architecture strategies to benefit specific business needs
* Develop and enforce database development standards
* Create an inventory of the data necessary to build and implement a modern data architecture
* Maintain a repository of all data architecture procedures and artifacts
* Build and manage data models for database structures, Analytics & AI/ML applications
* Establish guidelines around data architecture and modeling
* Provide training, coaching, supervising staff and participate in increasing staff knowledge for data
* Communicate new system strategies, designs, and methods to engineers throughout all lines of business to maintain a clear understanding of objectives and procedures
* Always take action using Integrity, Caring, and Excellence to achieve all-win outcomes","* Master's degree in a Computer Science, Data Science or equivalent experience
* 8+ years of experience with data management in data warehouse, ETL, and real-time streaming
* Demonstrated experience with architecture, design, and integration
* Demonstrated knowledge of cloud computing concepts such as IaaS, PaaS, and SaaS
* Demonstrated experience effectively presenting data-based insights and recommendations to all levels of stakeholders
* Demonstrated experience with working with one or more cloud Data warehouses, traditional data warehouses, data lakes, big data platforms such as Teradata, Vantage, Data bricks, Snowflake and Hadoop
* Understanding of architectural design, data platform delivery in technologies that include but not limited to Cloud, ETL (Glue, ADF, Dataflow Matillion or similar tools), data storage, data modeling, APIs/micro-services, automaton, continuous integration/continuous deployment
* Demonstrated experience in modeling and implementing one or more Customer 360 or CDP (Customer data platform) implementations
* Excellent verbal and written communication skills

Additional Preferred Skills:
* 5+ years of experience at a financial institution
* Demonstrated experience in no sql, streaming and ETL technologies such as Cassandra, MongoDB, DynamoDB, Informatica, Kafka
* Knowledge of programming languages such as Python, Java, SQL
* Knowledge of data visualization, data migration and data modeling tools

"
Cost Control Manager,Permanent,2089214-AQG,"New York, NY",New York,NY,$113900 - $154100 per Annually,"Kforce's client, one of New York's most iconic real estate developers, seeks a Cost Control Manager for their growing development accounting department who will manage, supervise, and coach Development Accountants and focus on budgetary cost control of ground up development projects, through project management system and preparation of various cost reports, monitoring and analyzing of budget modifications and forecasts. This position will work in office 4 days each week and offers excellent compensation and benefits.

Responsibilities:
* Interface with project managers and project executives to assist in maintaining accurate, updated information on project costs and budgets
* Review monthly capital calls to lenders and/or equity owners for multiple projects in the portfolio
* Liaise with construction lender to ensure timely and accurate delivery of monthly draw submissions
* Assist project teams with developing and maintaining project cost control systems and reports
* Utilize eBuilder and assist in designing and improving the system to streamline cost control, budgeting, and reporting processes
* Ensure budgets are consistent among financial models, capital calls, construction loan draws and management reporting
* Provide and analyze budget reforecasts, cost trend reports and commitments reports
* Ensure that all cost reporting is consistent, timely and reflective of the most up-to-date information from the development team
* Ensure costs spend align with approved budget and commitments
* Review and approve, in detail, construction contracts, consultant contracts, commitments and change orders
* Review work products of Development Accountants to ensure the accurate and timely reporting of job costs
* Liaise with and support Asset Management and Project Management to ensure consistent reporting of all project related financial information","* Bachelor's degree  in Accounting or Finance
* 5+ years of related  real estate experience required with previous supervisory experience
* Fluent in construction and development real estate
* Experience with Timberline and Timberscan
* Proficiency with standard suite of Microsoft Office applications, advanced Excel required 
* Excellent organizational and presentation skills

"
Development Accountant,Permanent,2089217-AQG,"New York, NY",New York,NY,$78200 - $105800 per Annually,"Kforce's client, one of New York's most iconic real estate developers, seeks a Development Accountant who will report to  Assistant Controller and Controller. This job will be in-office 4 days each week. This company offers comprehensive benefits including competitive compensation.

Responsibilities:
* Monthly requisitions
* Review of construction invoices in AIA forms
* Walk through meetings, job meetings and accurate recording of costs in job cost details
* Review approved contracts and track spent against budgets as well as accurately closing month end entries
* Responsible for books and records of multiple development projects
* Attend monthly job site meetings with lender and/or construction manager
* Produce accurate and quality monthly requisitions to lenders and/or owners
* Review and validate proper billing for cost in AIA payment application
* Liaison with CM to provide accurate and complete AIA Billing package
* Review construction contract, change order and commitments
* Ensure cost details are properly recorded and reported
* Reconcile cost detail subledger to general ledger","* Bachelor's degree in Accounting
* 4+ years of development/construction accounting experience is a must
* Fluent in construction and development real estate
* Experience with Timberline and Timberscan highly desired
* Proficiency with  Microsoft Office applications, advanced Excel required Excellent organizational and presentation skills

"
GPO Master Data,Contract,2089212-EQG,"Mc Lean, VA",Mc Lean,VA,$65 - $74 per Hourly,"Kforce has a client in McLean, VA that is seeking a GPO Master Data.

Summary:
Our client is embarking on a 18-month business transformation journey to streamline, standardize, digitize, and automate our business. This includes business process transformation, and modernizing our Enterprise Resource Planning (ERP) system, related tools, and core functionality. The roles on the project team will work together to create standardized, efficient, and future-leaning processes and technological solutions.

The Global Process Owner (Master Data) has overall accountability for success of the end to end master data management, provides clarity on requirements, and drives alignment between business and the functional teams. They are the champion of the solution. The Global Process Owner (Master Data) will work with the digital technology's leads, the systems integrator, change managers, trainers, and peer GPO's on a daily basis. They will be the voice of the business, an expert, a liaison, and decision maker.  They will communicate how each cross-functional team interacts with the global process to find standardized solutions within the new system.

Responsibilities: 
* Gain alignment within end to end master data management process for MRG Physical and Digital channels and Ethel M and represent the business functions in the end-to-end process
* Responsible for all processes, data required, Reporting and integration touch point to ensure the end to end processes is fully covered
* Responsible to understand the change in functional area (Organization, Process) and identify the benefits the implementation will bring
* Is an active member of the -Design Authority Board- who make decisions on the future state for the company
* Accountable to ensure the overall documentation including training document is up to date
* Challenge business needs and rationale that deviate from standard software (customization metric)","* Bachelor's degree or equivalent
* 7+ years of experience in Master Data Management
* Experience managing complex master data in an ERP with connections to other systems
* Understanding of cost of good accounting
* Experience in SAP & S4Hana required 
* Experience in project or program management
* Excellent written and verbal skills
* High interpersonal and communication skills
* Experience working with IT/DT/Technology teams

"
